id	rate
1	0.08
2	0.1056
3	0.1136
4	0.088
5	0.1376
6	0.0752
7	0.1008
8	0.0048
9	0
10	0.0832
11	0.0176
12	0.1584
13	0.1024
14	0.1296
15	0.104
16	0.0464
17	0.128
18	0.1024
19	0.0848
20	0.1184
21	0.0864
22	0.0368
23	0.056
24	0.0544
25	0.1424
26	0.0928
27	0.0784
28	0.0736
29	0.1408
30	0.1392
31	0.1488
32	0.144
33	0.0288
34	0.0448
35	0.008
36	0.0464
37	0.0288
38	0.0656
39	0.0736
40	0.024
41	0.1376
42	0.0192
43	0.0928
44	0.1136
45	0.0832
46	0.0096
47	0.0272
48	0.1536
49	0.1088
50	0.1104
51	0.0736
52	0.0096
53	0.1584
54	0.0064
55	0.1376
56	0.1008
57	0.1072
58	0.0112
59	0.0288
60	0.1152
61	0.0544
62	0.1216
63	0.0592
64	0.0672
65	0.1088
66	0.1392
67	0.0528
68	0.1216
69	0.112
70	0.0912
71	0.0416
72	0.0896
73	0.0416
74	0.1216
75	0.1328
76	0.0624
77	0.072
78	0.04
79	0.096
80	0.152
81	0.0896
82	0.1248
83	0.04
84	0.1584
85	0.0336
86	0.1536
87	0.128
88	0.0736
89	0.0608
90	0.0128
91	0.0528
92	0.1008
93	0.152
94	0.152
95	0.1104
96	0.1488
97	0.056
98	0.0832
99	0.0736
100	0.072
101	0.0336
102	0.1312
